brand,car_model,battery_type,fast_charge_port,drivetrain,car_body_type,manufacturing_country,segment,feature,value,value_numeric,is_numeric,feature_type
Abarth,600e Scorpionissima,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,acceleration_0_100_s,5.9,5.9,True,performance
Abarth,600e Scorpionissima,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,fast_charging_power_kw_dc,79.0,79.0,True,other
Abarth,600e Scorpionissima,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,towing_capacity_kg,1500.0,1500.0,True,other
Abarth,600e Scorpionissima,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,cargo_volume_l,360.0,360.0,True,dimension
Abarth,600e Scorpionissima,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,seats,5.0,5.0,True,other
Abarth,600e Scorpionissima,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,length_mm,4187.0,4187.0,True,dimension
Abarth,600e Scorpionissima,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,width_mm,1779.0,1779.0,True,dimension
Abarth,600e Scorpionissima,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,height_mm,1557.0,1557.0,True,dimension
Abarth,600e Scorpionissima,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,torque_nm_mapped,254.45889000000005,254.45889000000005,True,other
Abarth,600e Scorpionissima,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,power_to_weight_ratio,0.2289855072463768,0.2289855072463768,True,performance
Abarth,600e Scorpionissima,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,efficiency,2.0078740157480315,2.0078740157480315,True,other
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,top_speed_kmh,200.0,200.0,True,performance
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,battery_capacity_kWh,50.8,50.8,True,other
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,number_of_cells,102.0,102.0,True,other
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,torque_nm,345.0,345.0,True,performance
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,efficiency_wh_per_km,158.0,158.0,True,other
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,range_km,280.0,280.0,True,performance
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,acceleration_0_100_s,6.2,6.2,True,performance
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,fast_charging_power_kw_dc,79.0,79.0,True,other
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,towing_capacity_kg,1500.0,1500.0,True,other
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,cargo_volume_l,360.0,360.0,True,dimension
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,seats,5.0,5.0,True,other
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,length_mm,4187.0,4187.0,True,dimension
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,width_mm,1779.0,1779.0,True,dimension
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,height_mm,1557.0,1557.0,True,dimension
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,torque_nm_mapped,254.45889000000005,254.45889000000005,True,other
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,power_to_weight_ratio,0.2289855072463768,0.2289855072463768,True,performance
Abarth,600e Turismo,Lithium-ion,CCS,FWD,SUV,Italy,JB - Compact,efficiency,2.0078740157480315,2.0078740157480315,True,other
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,top_speed_kmh,150.0,150.0,True,performance
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,battery_capacity_kWh,60.0,60.0,True,other
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,number_of_cells,216.0,216.0,True,other
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,torque_nm,310.0,310.0,True,performance
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,efficiency_wh_per_km,156.0,156.0,True,other
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,range_km,315.0,315.0,True,performance
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,acceleration_0_100_s,7.5,7.5,True,performance
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,fast_charging_power_kw_dc,78.0,78.0,True,other
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,towing_capacity_kg,1500.0,1500.0,True,other
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,cargo_volume_l,496.0,496.0,True,dimension
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,seats,5.0,5.0,True,other
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,length_mm,4680.0,4680.0,True,dimension
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,width_mm,1865.0,1865.0,True,dimension
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,height_mm,1700.0,1700.0,True,dimension
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,torque_nm_mapped,228.64422,228.64422,True,other
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,power_to_weight_ratio,0.2516129032258064,0.2516129032258064,True,performance
Aiways,U5,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,efficiency,3.6,3.6,True,other
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,top_speed_kmh,160.0,160.0,True,performance
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,battery_capacity_kWh,60.0,60.0,True,other
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,number_of_cells,216.0,216.0,True,other
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,torque_nm,315.0,315.0,True,performance
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,efficiency_wh_per_km,150.0,150.0,True,other
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,range_km,350.0,350.0,True,performance
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,acceleration_0_100_s,7.0,7.0,True,performance
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,fast_charging_power_kw_dc,78.0,78.0,True,other
Aiways,U6,Lithium-ion,CCS,FWD,SUV,China,JC - Medium,towing_capacity_kg,1500.0,1500.0,True,other
