run_date,title,url,avg_label,avg_score,num_sentences,polarity_counts
2025-11-09,NewsNews,https://www.bbc.com/news/scotland/scotland_politics,NEGATIVE,0.8309611588716507,20,"{'positive': 1, 'negative': 19}"
2025-11-09,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.21988357712582843,41,"{'positive': 16, 'negative': 25}"
2025-11-09,NewsNews,https://www.bbc.com/news/wales/wales_politics,NEGATIVE,0.10623301565647125,12,"{'positive': 5, 'negative': 7}"
2025-11-09,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.1968337482876248,45,"{'positive': 18, 'negative': 27}"
2025-11-09,NewsNews,https://www.bbc.com/news/world/asia,NEGATIVE,0.22132696211338043,28,"{'positive': 11, 'negative': 17}"
2025-11-09,NewsNews,https://www.bbc.com/news/world/asia/china,NEGATIVE,0.13662408113479615,25,"{'positive': 11, 'negative': 14}"
2025-11-09,NewsNews,https://www.bbc.com/news/world/asia/india,NEGATIVE,0.2751764527388981,28,"{'positive': 10, 'negative': 18}"
2025-11-09,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.12093145506722587,28,"{'positive': 12, 'negative': 16}"
2025-11-09,NewsNews,https://www.bbc.com/news/world/europe,NEGATIVE,0.37907966785132885,32,"{'positive': 10, 'negative': 22}"
2025-11-10,NewsNews,https://www.bbc.com/news/topics/c2vdnvdg6xxt,NEGATIVE,0.7553274218852704,26,"{'positive': 3, 'negative': 23}"
2025-11-10,NewsNews,https://www.bbc.com/news/war-in-ukraine,NEGATIVE,0.5591884563046117,31,"{'positive': 6, 'negative': 25}"
2025-11-10,NewsNews,https://www.bbc.com/news/us-canada,NEGATIVE,0.29566981547918075,39,"{'positive': 14, 'negative': 25}"
2025-11-10,NewsNews,https://www.bbc.com/news/uk,NEGATIVE,0.44910496320479953,39,"{'positive': 10, 'negative': 29}"
2025-11-10,NewsNews,https://www.bbc.com/news/politics,NEGATIVE,0.5985249152054658,37,"{'positive': 7, 'negative': 30}"
2025-11-10,NewsNews,https://www.bbc.com/news/england,NEGATIVE,0.6361401188067901,39,"{'positive': 7, 'negative': 32}"
2025-11-10,NewsNews,https://www.bbc.com/news/northern_ireland,NEGATIVE,0.38770634909065405,49,"{'positive': 15, 'negative': 34}"
2025-11-10,NewsNews,https://www.bbc.com/news/northern_ireland/northern_ireland_politics,NEGATIVE,0.8123532831668854,12,"{'positive': 1, 'negative': 11}"
2025-11-10,NewsNews,https://www.bbc.com/news/scotland,NEGATIVE,0.32888879193816073,43,"{'positive': 14, 'negative': 29}"
2025-11-10,NewsNews,https://www.bbc.com/news/scotland/scotland_politics,NEGATIVE,0.8388287395238876,20,"{'positive': 1, 'negative': 19}"
2025-11-10,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.40636742682684035,42,"{'positive': 12, 'negative': 30}"
2025-11-10,NewsNews,https://www.bbc.com/news/wales/wales_politics,NEGATIVE,0.11019173264503479,12,"{'positive': 5, 'negative': 7}"
2025-11-10,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.400374303261439,48,"{'positive': 14, 'negative': 34}"
2025-11-10,NewsNews,https://www.bbc.com/news/world/asia,NEGATIVE,0.3518123538405807,27,"{'positive': 9, 'negative': 18}"
2025-11-10,NewsNews,https://www.bbc.com/news/world/asia/china,NEGATIVE,0.11144711822271347,24,"{'positive': 11, 'negative': 13}"
2025-11-10,NewsNews,https://www.bbc.com/news/world/asia/india,NEGATIVE,0.37258795820749724,26,"{'positive': 8, 'negative': 18}"
2025-11-10,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.13188873444284713,28,"{'positive': 12, 'negative': 16}"
2025-11-10,NewsNews,https://www.bbc.com/news/world/europe,NEGATIVE,0.5701827515255321,33,"{'positive': 7, 'negative': 26}"
2025-11-11,NewsNews,https://www.bbc.com/news/topics/c2vdnvdg6xxt,NEGATIVE,0.7624143891864352,27,"{'positive': 3, 'negative': 24}"
2025-11-11,NewsNews,https://www.bbc.com/news/war-in-ukraine,NEGATIVE,0.5563523692469443,31,"{'positive': 6, 'negative': 25}"
2025-11-11,NewsNews,https://www.bbc.com/news/us-canada,NEGATIVE,0.4258292349609169,37,"{'positive': 11, 'negative': 26}"
2025-11-11,NewsNews,https://www.bbc.com/news/uk,NEGATIVE,0.38917361862129635,36,"{'positive': 11, 'negative': 25}"
2025-11-11,NewsNews,https://www.bbc.com/news/politics,NEGATIVE,0.6429317676358752,36,"{'positive': 6, 'negative': 30}"
2025-11-11,NewsNews,https://www.bbc.com/news/england,NEGATIVE,0.35480144421259563,45,"{'positive': 14, 'negative': 31}"
2025-11-11,NewsNews,https://www.bbc.com/news/northern_ireland,NEGATIVE,0.08158640472256408,49,"{'positive': 23, 'negative': 26}"
2025-11-11,NewsNews,https://www.bbc.com/news/northern_ireland/northern_ireland_politics,NEGATIVE,0.8119659721851349,12,"{'positive': 1, 'negative': 11}"
2025-11-11,NewsNews,https://www.bbc.com/news/scotland,NEGATIVE,0.005233064293861389,44,"{'positive': 22, 'negative': 22}"
2025-11-11,NewsNews,https://www.bbc.com/news/scotland/scotland_politics,NEGATIVE,0.5325265294975705,18,"{'positive': 4, 'negative': 14}"
2025-11-11,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.49328804158029105,42,"{'positive': 11, 'negative': 31}"
2025-11-11,NewsNews,https://www.bbc.com/news/wales/wales_politics,NEGATIVE,0.15577155848344168,12,"{'positive': 5, 'negative': 7}"
2025-11-11,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.32278131941954297,48,"{'positive': 16, 'negative': 32}"
2025-11-11,NewsNews,https://www.bbc.com/news/world/asia,NEGATIVE,0.6279872610018804,26,"{'positive': 5, 'negative': 21}"
2025-11-11,NewsNews,https://www.bbc.com/news/world/asia/china,NEGATIVE,0.3633020644386609,24,"{'positive': 8, 'negative': 16}"
2025-11-11,NewsNews,https://www.bbc.com/news/world/asia/india,NEGATIVE,0.43103044308148897,26,"{'positive': 7, 'negative': 19}"
2025-11-11,NewsNews,https://www.bbc.com/news/world/australia,NEGATIVE,0.23756044220041345,27,"{'positive': 10, 'negative': 17}"
2025-11-11,NewsNews,https://www.bbc.com/news/world/europe,NEGATIVE,0.38251935690641403,32,"{'positive': 10, 'negative': 22}"
2025-11-12,NewsNews,https://www.bbc.com/news/topics/c2vdnvdg6xxt,NEGATIVE,0.8297619620958964,27,"{'positive': 2, 'negative': 25}"
2025-11-12,NewsNews,https://www.bbc.com/news/war-in-ukraine,NEGATIVE,0.629471073227544,31,"{'positive': 5, 'negative': 26}"
2025-11-12,NewsNews,https://www.bbc.com/news/us-canada,NEGATIVE,0.2365266389625017,43,"{'positive': 17, 'negative': 26}"
2025-11-12,NewsNews,https://www.bbc.com/news/uk,NEGATIVE,0.5465167079653058,35,"{'positive': 8, 'negative': 27}"
2025-11-12,NewsNews,https://www.bbc.com/news/politics,NEGATIVE,0.6812833670307609,34,"{'positive': 5, 'negative': 29}"
2025-11-12,NewsNews,https://www.bbc.com/news/england,NEGATIVE,0.5099629651416432,44,"{'positive': 11, 'negative': 33}"
2025-11-12,NewsNews,https://www.bbc.com/news/northern_ireland,NEGATIVE,0.009438831359148026,48,"{'positive': 24, 'negative': 24}"
2025-11-12,NewsNews,https://www.bbc.com/news/northern_ireland/northern_ireland_politics,NEGATIVE,0.8126547634601593,12,"{'positive': 1, 'negative': 11}"
2025-11-12,NewsNews,https://www.bbc.com/news/scotland,NEGATIVE,0.21184509857134384,44,"{'positive': 17, 'negative': 27}"
2025-11-12,NewsNews,https://www.bbc.com/news/scotland/scotland_politics,NEGATIVE,0.5141184396213956,18,"{'positive': 4, 'negative': 14}"
2025-11-12,NewsNews,https://www.bbc.com/news/wales,NEGATIVE,0.2519369277843209,43,"{'positive': 16, 'negative': 27}"
2025-11-12,NewsNews,https://www.bbc.com/news/wales/wales_politics,NEGATIVE,0.6647778898477554,12,"{'positive': 2, 'negative': 10}"
2025-11-12,NewsNews,https://www.bbc.com/news/world/africa,NEGATIVE,0.21918333942691484,48,"{'positive': 19, 'negative': 29}"
